angle_deg,level_db
-73.73979529168804,-35.96385049550466
-73.6377926488204,-35.82093041274995
-73.5364047977297,-35.68188763094069
-73.43562044232799,-35.54659180686402
-73.33542862618087,-35.41492014395026
-73.23581871838839,-35.2867568350346
-73.13678040021118,-35.161992555976944
-73.03830365239489,-35.040524004683746
-72.94037874314841,-34.92225348074035
-72.84299621673574,-34.807088501449336
-72.74614688264272,-34.694941450560265
-72.64982180528479,-34.585729256424166
-72.55401229422199,-34.479373096667544
-72.45870989485192,-34.375798126820186
-72.36390637955162,-34.27493323061165
-72.26959373924294,-34.17671078990328
-72.17576417535618,-34.08106647244149
-72.0824100921701,-33.98793903581201
-71.98952408950598,-33.89727014614321
-71.89709895575699,-33.80900421025791
-71.80512766123321,-33.72308822010305
-71.71360335180613,-33.639471608408236
-71.62251934283502,-33.5581061146216
-71.53186911336142,-33.478945660272295
-71.44164630055626,-33.40194623298041
-71.35184469440702,-33.327065778421634
-71.2624582326321,-33.25426409960728
-71.1734809958107,-33.18350276290562
-71.08490720271708,-33.11474501028257
-70.99673120584885,-33.04795567728533
-70.90894748713963,-32.98310111633447
-70.82155065384683,-32.92014912493081
-70.73453543460549,-32.859068878415194
-70.64789667564098,-32.799830866951034
-70.56162933713166,-32.74240683642836
-70.47572848971534,-32.68676973301237
-70.39018931113185,-32.632893651082945
-70.30500708299603,-32.58075378433266
-70.22017718769419,-32.53032637980904
-70.13569510539902,-32.481588694704236
-70.0515564111973,-32.43451895571259
-69.96775677232473,-32.38909632078747
-69.88429194550388,-32.345300843145125
-69.80115777437982,-32.30311343737312
-69.71835018704982,-32.26251584751362
-69.63586519368219,-32.22349061699873
-69.55369888422085,-32.18602106032805
-69.47184742617179,-32.15009123638458
-69.39030706246793,-32.11568592329243
-69.30907410940874,-32.08279059472933
-69.22814495467175,-32.051391397610544
-69.14751605539274,-32.021475131069664
-69.06718393631192,-31.993029226664106
-68.98714518798309,-31.966041729741605
-68.90739646504328,-31.94050128190657
-68.82793448454052,-31.916397104529416
-68.74875602431733,-31.893718983248313
-68.66985792144749,-31.872457253413657
-68.5912370707241,-31.85260278643122
-68.51289042319698,-31.834146976962423
-68.43481498475732,-31.817081730942856
-68.35700781476775,-31.80139945438409
-68.27946602473607,-31.787093042925388
-68.20218677703095,-31.77415587210481
-68.12516728363812,-31.762581788322407
-68.04840480495517,-31.752365100467898
-67.97189664862397,-31.74350057219147
-67.89564016839866,-31.735983414793125
-67.81963276304879,-31.72980928071331
-67.7438718752952,-31.724974257603854
-67.6683549907785,-31.7214748629643
-67.59307963705804,-31.719308039329178
-67.51804338264101,-31.718471149989877
-67.44324383604007,-31.718961975242866
-67.36867864485878,-31.720778709150167
-67.2943454949035,-31.7239199568052
-67.22024210932146,-31.72838473209427
-67.14636624776321,-31.734172455948418
-67.07271570556942,-31.74128295507877
-66.99928831298054,-31.749716461191646
-66.92608193436904,-31.75947361068037
-66.853094467493,-31.770555444791526
-66.78032384277078,-31.782963410264415
-66.70776802257562,-31.79669936044473
-66.63542500054982,-31.811765556873254
-66.56329280093759,-31.828164671351622
-66.49136947793632,-31.845899788490225
-66.41965311506509,-31.864974408740995
-66.34814182455048,-31.885392451922193
-66.27683374672863,-31.907158261242703
-66.20572704946336,-31.93027660783144
-66.13481992757949,-31.95475269578528
-66.06411060231123,-31.980592167741825
-65.99359732076488,-32.00780111099203
-65.92327835539561,-32.03638606414431
-65.85315200349761,-32.06635402435511
-65.78321658670752,-32.09771245514145
-65.71347045052033,-32.1304692947933
-65.6439119638178,-32.16463296540353
-65.57453951840864,-32.200212382537245
-65.50535152858032,-32.237216965561146
-65.43634643066201,-32.275656648656806
-65.3675226825985,-32.31554189254348
-65.29887876353445,-32.356883696937764
-65.23041317340905,-32.39969361377852
-65.16212443256055,-32.443983761248695
-65.09401108134024,-32.48976683862744
-65.026071679736,-32.53705614200716
-64.95830480700477,-32.58586558091394
-64.89070906131373,-32.63620969587166
-64.82328305939028,-32.688103676951485
-64.75602543618002,-32.74156338335359
-64.688934844513,-32.796605364067986
-64.6220099547776,-32.85324687966702
-64.5552494546022,-32.91150592528219
-64.48865204854407,-32.97140125482479
-64.42221645778555,-33.03295240650895
-64.35594141983711,-33.09617972974418
-64.28982568824728,-33.161104413462844
-64.22386803231906,-33.227748515956335
-64.15806723683288,-33.296134996295834
-64.09242210177563,-33.36628774741569
-64.02693144207593,-33.438231630946376
-63.9615940873451,-33.51199251388344
-63.89640888162405,-33.5875973071859
