n_atoms,dimension,parameterization,optimizer,seed,best_energy,target_energy,gap,target_relative_gap,success,within_1_percent,within_5_percent,within_10_percent,population_size,nominal_full_generations_per_restart,restarts,pair_traversals,pair_terms_evaluated,objective_calls,gradient_calls,wall_seconds,measured_pair_seconds,estimated_optimizer_overhead_seconds,overlap_pairs,projected_candidates,reference_structure_audited
13,39,free,basin-hopping,11652751910907147801,-3.26704945232539572e1,-4.43268010000000032e1,1.16563064767460460e1,2.62962952746038370e-1,false,false,false,false,,,5,12449,971022,12451,23130,0.025427412,0.005104473,0.020322939,813,0,true
13,39,free,basin-hopping,12023397145805715216,-3.05593262115022739e1,-4.43268010000000032e1,1.37674747884977293e1,3.10590308298984374e-1,false,false,false,false,,,5,20000,1560000,20003,37797,0.045620301,0.008968913,0.036651388,307,0,true
13,39,free,basin-hopping,14118027044237162458,-3.65679591343162400e1,-4.43268010000000032e1,7.75884186568376322e0,1.75037261671189909e-1,false,false,false,false,,,5,16838,1313364,16838,31336,0.034312427,0.006719614,0.027592813,259,0,true
13,39,free,basin-hopping,14216130040228855828,-3.88936606171877486e1,-4.43268010000000032e1,5.43314038281225464e0,1.22570098907255995e-1,false,false,false,false,,,5,8597,670566,8599,15748,0.016823340,0.003550850,0.013272490,187,0,true
13,39,free,basin-hopping,15411881175776054229,-3.78608676017053796e1,-4.43268010000000032e1,6.46593339829462366e0,1.45869615050601614e-1,false,false,false,false,,,5,8203,639834,8212,14940,0.021094730,0.004161989,0.016932741,7953,0,true
13,39,free,basin-hopping,17230659570361518906,-3.96368701289964065e1,-4.43268010000000032e1,4.68993087100359674e0,1.05803504092334480e-1,false,false,false,false,,,5,14450,1127100,14463,27153,0.035628113,0.006846979,0.028781134,239,0,true
13,39,free,bite-retry,4570751413759120945,-3.15619765251822706e1,-4.43268010000000032e1,1.27648244748177326e1,2.87970802919383484e-1,false,false,false,false,,,4,20000,1560000,20000,0,0.037498985,0.012422916,0.025076069,58957,0,true
13,39,free,bite-retry,7034108689089008211,-3.07708405186296758e1,-4.43268010000000032e1,1.35559604813703274e1,3.05818605799464904e-1,false,false,false,false,,,4,20000,1560000,20000,0,0.027551537,0.008089512,0.019462025,61160,0,true
13,39,free,bite-retry,7271924302297329655,-3.47655887645799595e1,-4.43268010000000032e1,9.56121223542004373e0,2.15698223641720560e-1,false,false,false,false,,,4,20000,1560000,20000,0,0.027906251,0.008122216,0.019784035,62906,0,true
13,39,free,bite-retry,8072969983913079348,-3.27701041622464615e1,-4.43268010000000032e1,1.15566968377535417e1,2.60715787673320709e-1,false,false,false,false,,,4,20000,1560000,20000,0,0.029639702,0.008625332,0.021014370,59690,0,true
13,39,free,bite-retry,11652751910907147801,-2.82428419069174055e1,-4.43268010000000032e1,1.60839590930825977e1,3.62849534147131336e-1,false,false,false,false,,,4,20000,1560000,20000,0,0.025408271,0.007376668,0.018031603,59492,0,true
