angle_deg,nominal_db,envelope_min_db,envelope_max_db
-58.81501659775592,-29.245052158606484,-37.75218614078955,-18.02308162022417
-58.759734783818324,-29.246784138834965,-37.55487761030104,-18.021060139343106
-58.70454076341967,-29.249269650377926,-37.36189787656797,-18.01934023809192
-58.649434068630306,-29.252510608513127,-37.17332102986232,-18.01792063329146
-58.594414235533,-29.256508673297972,-36.98918783667663,-18.016800013399113
-58.53948080417492,-29.261265251017914,-36.8095118015899,-18.0159770381179
-58.48463331852037,-29.266781495069996,-36.634284271635224,-18.015450337999226
-58.4298713264043,-29.273058306278674,-36.46347872008028,-18.015218514039315
-58.375194379486445,-29.280096332640525,-36.297054330952896,-18.015280137269247
-58.32060203320617,-29.28789596849546,-36.13495899038405,-18.015633748339482
-58.266093846738144,-29.2964573531186,-35.977131776547786,-18.01627785709821
-58.21166938294838,-29.305780368729764,-35.82350502700028,-18.01721094216443
-58.157328208351295,-29.315864637914075,-35.674006050656416,-18.018431450495484
-58.103069893067065,-29.326709520449022,-35.52855854151375,-18.019937796949677
-58.048894010779975,-29.33831410953101,-35.38708374245218,-18.02172836384392
-57.994800138696974,-29.350677227394893,-35.24950139988802,-18.023801500506835
-57.94078785750725,-29.363797420319116,-35.115730543618454,-18.02615552282743
-57.886856751342116,-29.37767295300912,-34.985690120718594,-18.028788712799894
-57.83300640773563,-29.39230180235053,-34.85929950771948,-18.031699318064604
-57.77923641758572,-29.407681650523358,-34.73647892138474,-18.034885551445612
-57.72554637511595,-29.42380987746914,-34.61714974511699,-18.03834559048517
-57.67193587783774,-29.440683552701387,-34.50123478525486,-18.042077576975576
-57.61840452651324,-29.458299426449894,-34.38865846920143,-18.046079616488573
-57.56495192511867,-29.47665392012968,-34.279346995377516,-18.050349777902802
-57.51157768080825,-29.49574311612495,-34.282713750494935,-18.054886092929678
-57.45828140387855,-29.51556274687935,-34.43325995782751,-18.059686555638432
-57.4050627077335,-29.536108183281435,-34.58501765744244,-18.064749121979943
-57.35192120884972,-29.557374422338796,-34.737950541053635,-18.07007170931095
-57.29885652674252,-29.579356074130384,-34.89201747668494,-18.075652195918167
-57.24586828393224,-29.602047348030208,-35.0471721028836,-18.08148842054336
-57.19295610591118,-29.625442038194848,-35.20336239839687,-18.087578181909745
-57.14011962111089,-29.649533508309037,-35.36053022749991,-18.093919238250333
-57.08735846087003,-29.674314675583844,-35.51861086158899,-18.100509306838678
-57.03467225940256,-29.699777994004613,-35.67753247818902,-18.10734606352283
-56.98206065376653,-29.725915436826043,-35.83721563916329,-18.114427142262837
-56.9295232838331,-29.752718478315828,-35.99757275068683,-18.1217501346729
-56.87705979225622,-29.780178074747994,-36.15850750844959,-18.12931258956837
-56.82466982444252,-29.808284644651923,-36.3199143326249,-18.137112012518596
-56.7723530285218,-29.837028048325003,-36.48167779836009,-18.14514586540632
-56.72010905531773,-29.866397566620396,-36.64367206895451,-18.1534115659943
-56.66793755831918,-29.89638187902537,-36.80576034046283,-18.16190648750005
-56.615838193651726,-29.926969041049944,-36.96779430821815,-18.170627958179487
-56.563810620049686,-29.95814646094975,-37.12961366768168,-18.179573260920098
-56.51185449882848,-29.9899008758144,-37.29104566407229,-18.188739632845106
-56.45996949385738,-30.02221832705508,-37.451904707388515,-18.198124264928754
