angle_deg,uniform_db,optimized_db,chebyshev_reference_db
-74.57942920700975,-22.724651906467162,-25.62859104579666,-30.515462420040148
-74.47205546629719,-22.746585954695483,-25.650943199813312,-30.554343177629484
-74.36540109898051,-22.769861351839744,-25.674004164357793,-30.594731414072044
-74.25945147483127,-22.79448408636344,-25.697772174889852,-30.636641045760072
-74.15419245024917,-22.820460587588364,-25.72224541128953,-30.680086657261256
-74.0496103459117,-22.84779773375344,-25.74742199296177,-30.725083523255307
-73.94569192572577,-22.876502860700597,-25.773299973752408,-30.77164763182386
-73.84242437699076,-22.906583771209768,-25.799877336666704,-30.819795709171807
-73.73979529168804,-22.938048745010654,-25.827151988383733,-30.86954524586879
-73.6377926488204,-22.97090654949777,-25.855121753557228,-30.920914524702088
-73.5364047977297,-23.005166451181083,-25.883784368895867,-30.973922650244077
-73.43562044232799,-23.040838227902167,-25.91313747701227,-31.028589580239682
-73.33542862618087,-23.077932181855306,-25.943178620035354,-31.08493615893767
-73.23581871838839,-23.116459153447835,-25.973905232973227,-31.142984152486804
-73.13678040021118,-23.156430536043814,-26.005314636820348,-31.202756286540154
-73.03830365239489,-23.197858291634226,-26.037404031398843,-31.264276286215985
-72.94037874314841,-23.240754967482438,-26.070170487924337,-31.327568918577285
-72.84299621673574,-23.285133713795826,-26.103610941287254,-31.392660037807723
-72.74614688264272,-23.33100830248015,-26.13772218203995,-31.459576633275177
-72.64982180528479,-23.378393147035922,-26.1725008480797,-31.528346880691174
-72.55401229422199,-23.427303323662926,-26.207943416019287,-31.59900019659592
-72.45870989485192,-23.477754593640356,-26.244046192233238,-31.67156729641156
-72.36390637955162,-23.529763427060683,-26.280805303572784,-31.746080256338395
-72.26959373924294,-23.583347027996204,-26.318216687738293,-31.82257257938557
-72.17576417535618,-23.638523361187076,-26.356276083300525,-31.901079265858243
-72.0824100921701,-23.695311180345207,-26.3949790193618,-31.981636888653927
-71.98952408950598,-23.753730058176362,-26.434320804848053,-32.06428367375257
-71.89709895575699,-23.813800418230628,-26.474296517423163,-32.149059586322544
-71.80512766123321,-23.875543568701424,-26.514900992018312,-32.23600642290671
-71.71360335180613,-23.93898173830148,-26.556128808967316,-32.32516791019575
-71.62251934283502,-24.00413811435719,-26.59797428174329,-32.416589810952296
-71.53186911336142,-24.071036883271507,-26.640431444287778,-32.51032003769826
-71.44164630055626,-24.139703273521885,-26.683494037929634,-32.606408774850756
-71.35184469440702,-24.210163601370187,-26.72715549788714,-32.70490861005413
-71.2624582326321,-24.28244531948003,-26.77140893935079,-32.805874675541205
-71.1734809958107,-24.356577068652502,-26.816247143145628,-32.90936480044583
-71.08490720271708,-24.43258873290938,-26.86166254097065,-33.01543967508549
-70.99673120584885,-24.510511498174594,-26.907647200217255,-33.12416302834986
-70.90894748713963,-24.59037791482735,-26.95419280836981,-33.235601819460506
-70.82155065384683,-24.67222196442297,-27.0012906569913,-33.34982644550421
-70.73453543460549,-24.756079130910106,-27.048931625303396,-33.466910966318224
-70.64789667564098,-24.84198647669631,-27.097106163367425,-33.58693334847869
-70.56162933713166,-24.929982723955348,-27.145804274880668,-33.709975730367255
-70.47572848971534,-25.02010834160117,-27.19501549960095,-33.83612471052305
-70.39018931113185,-25.11240563839849,-27.244728895419264,-33.965471661771
-70.30500708299603,-25.20691886272569,-27.294933020100874,-34.098113073926164
-70.22017718769419,-25.303694309555414,-27.34561591272073,-34.234150928240965
-70.13569510539902,-25.40278043528023,-27.396765074824252,-34.37369310718218
-70.0515564111973,-25.50422798106894,-27.448367451344975,-34.51685384359432
-69.96775677232473,-25.60809010551795,-27.50040941132106,-34.66375421387908
-69.88429194550388,-25.714422527438142,-27.55287672845401,-34.81452268045375
-69.80115777437982,-25.823283679709704,-27.605754561558925,-34.969295689505245
-69.71835018704982,-25.934734875241293,-27.659027434964038,-35.128218330936456
-69.63586519368219,-26.04884048618185,-27.712679218920854,-35.291445068419314
-69.55369888422085,-26.1656681376671,-27.76669311009575,-35.45914054867771
-69.47184742617179,-26.285288917526252,-27.821051612218923,-35.63148050053249
-69.39030706246793,-26.40777760354279,-27.875736516975273,-35.8086527359157
-69.30907410940874,-26.533212910053507,-27.93072888523102,-35.99085826704587
-69.22814495467175,-26.661677755881602,-27.98600902869517,-36.1783125563072
-69.14751605539274,-26.793259555850476,-28.041556492128308,-36.37124691820468
-69.06718393631192,-26.92805053839931,-28.097350036214728,-36.56991009613251
-68.98714518798309,-27.06614809214937,-28.15336762122948,-36.77457004078072
