i,j,x_m,y_m,solid,u_lattice,v_lattice,pressure_lattice,concentration,source_x_fraction,source_y_fraction
38,4,4.812500000,0.562500000,0,0.022966786,0.009458056,-0.000251349,0.003731332,0.300000000,0.250000000
39,4,4.937500000,0.562500000,0,0.032142857,0.009463256,-0.000000000,0.000000000,0.300000000,0.250000000
0,5,0.062500000,0.687500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
1,5,0.187500000,0.687500000,0,-0.000005520,0.000152412,0.000429041,0.042454789,0.300000000,0.250000000
2,5,0.312500000,0.687500000,0,0.000071360,0.000148123,0.000444337,0.042790741,0.300000000,0.250000000
3,5,0.437500000,0.687500000,0,0.000216301,-0.000063185,0.000398115,0.043427053,0.300000000,0.250000000
4,5,0.562500000,0.687500000,0,0.000475130,-0.000707417,0.000411969,0.044345929,0.300000000,0.250000000
5,5,0.687500000,0.687500000,0,0.001025733,-0.001491520,0.000431841,0.045530875,0.300000000,0.250000000
6,5,0.812500000,0.687500000,0,0.001879846,-0.002153796,0.000377301,0.046933249,0.300000000,0.250000000
7,5,0.937500000,0.687500000,0,0.002904085,-0.002863676,0.000373745,0.048526820,0.300000000,0.250000000
8,5,1.062500000,0.687500000,0,0.004137657,-0.003519239,0.000400861,0.050303246,0.300000000,0.250000000
9,5,1.187500000,0.687500000,0,0.005520849,-0.003998532,0.000363647,0.052221142,0.300000000,0.250000000
10,5,1.312500000,0.687500000,0,0.007074375,-0.004390654,0.000331554,0.054246061,0.300000000,0.250000000
11,5,1.437500000,0.687500000,0,0.008736898,-0.004653061,0.000335445,0.056369830,0.300000000,0.250000000
12,5,1.562500000,0.687500000,0,0.010419397,-0.004700902,0.000321547,0.058573022,0.300000000,0.250000000
13,5,1.687500000,0.687500000,0,0.012070564,-0.004578992,0.000294380,0.060812304,0.300000000,0.250000000
14,5,1.812500000,0.687500000,0,0.013696085,-0.004141927,0.000255686,0.063042631,0.300000000,0.250000000
15,5,1.937500000,0.687500000,0,0.015095753,-0.003428297,0.000238799,0.065196481,0.300000000,0.250000000
16,5,2.062500000,0.687500000,0,0.016173851,-0.002587923,0.000239540,0.067129099,0.300000000,0.250000000
17,5,2.187500000,0.687500000,0,0.016867532,-0.001565397,0.000202314,0.068680280,0.300000000,0.250000000
18,5,2.312500000,0.687500000,0,0.017239311,-0.000645209,0.000186437,0.069661083,0.300000000,0.250000000
19,5,2.437500000,0.687500000,0,0.017341730,0.000086354,0.000204631,0.069924423,0.300000000,0.250000000
20,5,2.562500000,0.687500000,0,0.017241627,0.000698884,0.000203958,0.069342756,0.300000000,0.250000000
21,5,2.687500000,0.687500000,0,0.016985112,0.001064011,0.000208732,0.067863480,0.300000000,0.250000000
22,5,2.812500000,0.687500000,0,0.016706833,0.001257034,0.000225628,0.065505181,0.300000000,0.250000000
23,5,2.937500000,0.687500000,0,0.016395813,0.001332749,0.000249830,0.062338112,0.300000000,0.250000000
24,5,3.062500000,0.687500000,0,0.016106549,0.001307428,0.000269943,0.058463569,0.300000000,0.250000000
25,5,3.187500000,0.687500000,0,0.015821501,0.001223455,0.000274454,0.054038373,0.300000000,0.250000000
26,5,3.312500000,0.687500000,0,0.015525385,0.001055134,0.000299907,0.049235513,0.300000000,0.250000000
27,5,3.437500000,0.687500000,0,0.015262526,0.000809189,0.000338491,0.044214434,0.300000000,0.250000000
28,5,3.562500000,0.687500000,0,0.015175256,0.000458659,0.000322547,0.039153463,0.300000000,0.250000000
29,5,3.687500000,0.687500000,0,0.015175123,0.000071510,0.000295059,0.034232598,0.300000000,0.250000000
30,5,3.812500000,0.687500000,0,0.015202318,-0.000432542,0.000374695,0.029566432,0.300000000,0.250000000
31,5,3.937500000,0.687500000,0,0.015609563,-0.000977656,0.000384934,0.025230288,0.300000000,0.250000000
32,5,4.062500000,0.687500000,0,0.016406365,-0.001367183,0.000200979,0.021304682,0.300000000,0.250000000
33,5,4.187500000,0.687500000,0,0.016951707,-0.001395147,0.000265395,0.017819909,0.300000000,0.250000000
34,5,4.312500000,0.687500000,0,0.017633517,-0.001754559,0.000515494,0.014711992,0.300000000,0.250000000
35,5,4.437500000,0.687500000,0,0.019324797,-0.001358298,0.000153009,0.011914445,0.300000000,0.250000000
36,5,4.562500000,0.687500000,0,0.021446899,-0.000638846,-0.000201060,0.009354299,0.300000000,0.250000000
37,5,4.687500000,0.687500000,0,0.024294489,0.001948441,0.000429126,0.006680543,0.300000000,0.250000000
38,5,4.812500000,0.687500000,0,0.028503854,0.003140792,0.000140002,0.003080514,0.300000000,0.250000000
39,5,4.937500000,0.687500000,0,0.032142857,0.003148360,0.000000000,0.000000000,0.300000000,0.250000000
0,6,0.062500000,0.812500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
1,6,0.187500000,0.812500000,0,0.000035890,0.000164341,0.000442703,0.039086404,0.300000000,0.250000000
2,6,0.312500000,0.812500000,0,0.000034826,0.000124873,0.000479348,0.039354684,0.300000000,0.250000000
3,6,0.437500000,0.812500000,0,0.000164504,-0.000288322,0.000413647,0.039887652,0.300000000,0.250000000
4,6,0.562500000,0.812500000,0,0.000624856,-0.001060988,0.000374374,0.040639227,0.300000000,0.250000000
5,6,0.687500000,0.812500000,0,0.001271077,-0.002184774,0.000447359,0.041613247,0.300000000,0.250000000
6,6,0.812500000,0.812500000,0,0.002157122,-0.003128930,0.000435903,0.042816090,0.300000000,0.250000000
7,6,0.937500000,0.812500000,0,0.003273538,-0.003947921,0.000357858,0.044202535,0.300000000,0.250000000
8,6,1.062500000,0.812500000,0,0.004639765,-0.004793831,0.000377056,0.045766398,0.300000000,0.250000000
9,6,1.187500000,0.812500000,0,0.006079726,-0.005441154,0.000403881,0.047516105,0.300000000,0.250000000
