point_id,feasible,selected,objective_oscillation_error,objective_molecule_cost,objective_fragility,decision_log10_alpha_a,decision_log10_alpha_prime_a,decision_log10_alpha_r,decision_log10_alpha_prime_r,decision_log10_beta_a,decision_log10_beta_r,decision_log10_delta_ma,decision_log10_delta_mr,decision_log10_delta_a,decision_log10_delta_r,decision_log10_gamma_a,decision_log10_gamma_r,decision_log10_gamma_c,decision_log10_theta_a,decision_log10_theta_r
53,1,0,2.164947778774134,42.560546875,1.028561144435327,1.2117308503825024,2.6650473418589335,-1.7870811789766012,1.9848326003444843,1.2678671221162934,0.3031307546455785,1.2571236312654128,-0.39114766282980457,0.020604473136683177,-0.2838616078309115,-0.4845338378248101,0.22609413231101655,0.7746410932451151,1.7259142255016098,2.1931911163893423
54,1,0,2.164947778774134,42.560546875,1.028561144435327,1.2117308503825024,2.6650473418589344,-1.7870811789766012,1.9848326003444838,1.2678671221162934,0.3031307546455785,1.2571236312654128,-0.3911476628298045,0.020604473136683177,-0.2838616078309115,-0.4845338378248101,0.22609413231101655,0.7746410932451149,1.7259142255016098,2.1931911163893423
55,1,0,2.0982132088033763,33.130859375,1.0670378096900328,1.2117308503825024,2.657480232730623,-1.7612437316153091,1.9836631241472058,1.2678671221162934,0.2820477700748101,1.3603654869787225,-0.29161352903365645,0.01260410131825812,-0.2782848084178269,-0.4845338378248101,0.2499038423854858,0.7537543883977467,1.7303632122893182,2.1904560965292896
56,1,0,2.36072557158461,24.943359375,1.0297876181528605,1.2149570076437648,2.258148893126157,-2.455290222362609,1.9690266792188384,1.2687899531027227,0.44000938066107914,1.2370322299896463,-0.6137007727054336,0.37576780533695575,-0.2891514733171553,0.29150650093736064,0.24984508888807022,0.7245876237266656,2.120859795354977,2.3186433667032182
57,1,0,2.1352643783009695,32.95703125,1.2027829676728854,1.2117308503825024,2.674291517207826,-1.7870811789766015,1.9836631241472058,1.2678671221162934,0.3031307546455785,1.3603654869787225,-0.09658156893095304,0.01260410131825812,-0.2838616078309115,-0.4845338378248101,0.2499038423854858,0.774641093245115,1.7303632122893178,2.1943061344327326
58,1,0,2.1849663674618442,28.197265625,1.1865258690889942,1.211977284685979,2.340433953566852,-2.1957318940484143,1.474713892689913,1.2722234983934002,0.6087483989587369,1.3599455155285485,-0.4810953734723602,-0.03540423578123021,-0.4734670727963197,-0.4821808225074038,0.2500275648938126,0.753577670103167,1.7503024291093268,2.1904560965292896
59,1,0,2.3373937616306604,28.17578125,1.1583404791546115,1.213307898762065,2.2536538644419006,-2.1778127950232964,1.9646782907504083,1.2556232493437849,0.2820756658893994,1.3517348180381572,-0.34986731751203953,-0.032178557611765884,-0.7134583451366278,-0.47482527117470286,0.24347959979203326,0.7705771075690957,1.7535242970976377,2.3295447570778407
60,1,0,2.2003443599669903,26.619140625,1.2594500299923137,1.2120034718188322,2.352462202786657,-2.218337245076115,1.466751381468106,1.2722234983934002,0.6064317698252211,1.3599455155285485,-0.4811094166876468,-0.0354042357812302,-0.4802826603412059,-0.4821808225074038,-0.21440669950391944,0.753577670103167,1.7574267407329045,2.3901422381134187
61,1,0,2.3037433782617396,27.9453125,1.229935673868715,1.2119772846859793,2.340433953566852,-2.1957318940484143,1.4637714274058116,1.2722234983934002,0.608748398958737,1.3599455155285485,-0.4810953734723602,-0.0354042357812302,-0.4734670727963197,-0.4821808225074038,0.2500275648938126,0.7535776701031669,1.7503024291093268,2.1904560965292896
62,1,0,2.3037433782617396,27.9453125,1.229935673868715,1.2119772846859793,2.340433953566852,-2.1957318940484143,1.4637714274058116,1.2722234983934002,0.608748398958737,1.3599455155285485,-0.4810953734723602,-0.0354042357812302,-0.4734670727963197,-0.4821808225074038,0.2500275648938126,0.7535776701031669,1.7503024291093268,2.1904560965292896
