hour,load_kw,renewable_kw,import_kw,export_kw,battery_soc_kwh,electrolyser_kw,hydrogen_store_kwh,hydrogen_buy_kw,hydrogen_demand_kw
1634,930.389002107188,1372.4019357461339,0,64.83701855224103,3712.305523437697,377.17591508669534,272.3611102604057,0,128.95315387280502
1635,966.2733138853337,1207.7121175840805,0,0,3712.305523437639,241.43880369875114,304.63681613020776,0,131.9026806453901
1636,1005.7357282945485,1138.73360466688,0,0,3712.305523437668,132.99787637230475,260.3439582210913,0,134.73141384226568
1637,1046.0820473479098,1205.1142057798686,0,0,3712.305523437726,159.0321584319463,231.23947473951557,0,137.24635121528488
1638,1084.557837514871,1367.206177627123,0,0,3712.305523437668,282.6483401122387,284.1644610029034,0,139.27588501296376
1639,1118.5361398169723,2191.9263052299066,0,696.2142503262196,3712.305523437697,377.17591508669534,399.9625879638185,0,140.68149529802542
1640,1145.696492743488,2876.16471509514,0,1353.292307264933,3712.305523437615,377.17591508669534,515.0750224135769,0,141.36718780916937
1641,1164.1830678711567,3338.1250116001775,0,1796.7660286423682,3712.3055234376425,377.17591508669534,630.2686113412168,0,141.28603333132958
1642,1172.7311415068432,3581.2042836086234,0,2031.2972270150833,3712.3055234375943,377.17591508669534,746.3048705041867,0,140.4433630959615
1643,1170.7532835196896,3673.2428728738573,0,2125.3136742674606,3712.3055234377493,377.17591508669534,863.8880901257937,0,138.8964026373103
1644,1158.3793897362762,3692.359624716263,0,2533.980234979988,3712.305523437675,0,727.1377208761842,0,136.750369249581
1645,1136.4478297572193,3672.0876482615795,0,2158.463903417657,3712.3055234377334,377.17591508669534,849.4660439529252,0,134.15129918217423
1646,1106.448313456877,3578.5732161034857,0,2094.9489875599525,3712.305523437646,377.17591508669534,974.6695726589533,0,131.2760935529459
1647,1070.4203697197888,3333.4133735031455,0,2262.9930037833983,3712.305523437646,0,846.3491111911135,0,128.32046146779734
1648,1030.8143559201912,2868.5532002480268,0,1837.7388443278687,3712.305523437675,0,720.8635290948441,0,125.48558209625394
1649,990.3244701188825,2180.476914228122,0,1190.1524441092042,3712.305523437646,0,597.8991343880771,0,122.96439470678763
1650,951.7051459202689,1350.9751942644707,0,399.2700483442022,3712.305523437646,0,476.97068341868,0,120.92845096944794
1651,917.5833423766525,1186.1790928328812,0,268.5957504562102,3712.3055234377043,0,357.45445795275737,0,119.51622546589584
1652,890.2795210725847,1117.094839461009,0,226.81531838839874,3712.3055234377625,0,238.63077702652663,0,118.82368092626189
1653,871.6495105051358,1183.3702455997468,0,311.72073509462643,3712.3055234377043,0,119.73304600967094,0,118.8977310168854
1654,862.9580344412327,1345.3575706049762,0,482.39953616372077,3712.3055234377625,0,0,0,119.73304600971466
1655,864.7925230855078,1507.3386512740062,0,464.20433578585084,3712.3055234377625,178.3417924026419,0,0,121.27241883384835
1656,877.023080685139,1573.5953245615528,0,515.0859698029526,3712.3055234378207,181.4862740734534,0,0,123.41066636989697
1657,898.8113377132504,1504.4798502957267,0,420.3717479730258,3712.3055234377625,185.29676460946212,0,0,126.00179993443486
1658,928.6675843692077,1339.6400407144508,0,67.31718949397327,3712.3055234377625,343.65526685124496,104.81660532671377,0,128.86897613214248
1659,964.5522918421777,1174.794130927223,0,0,3712.3055234377625,210.2418390850653,115.96450609725203,0,131.81654980731574
1660,1004.0151028316137,1105.6603561973186,0,0,3712.3055234377334,101.64525336568477,50.43987077333965,0,134.6434076125292
1661,1044.3618193503892,1171.886529223988,0,0,3712.3055234377334,127.52470987359993,0,0,137.15667348740308
1662,1082.8380078677524,1333.8249106042056,0,46.30329678702401,3712.3055234377334,204.6836059494526,0,0,139.18485204565837
1663,1116.8167094050393,2163.3874396325104,0,839.8214446035272,3712.3055234377625,206.74928562398418,0,0,140.58951422432278
1664,1143.9774624513186,2852.131500188407,0,1500.3970834167849,3712.3055234377334,207.75695432026987,0,0,141.27472893778005
1665,1162.4644385831227,3317.9429976678784,0,1947.8409147832135,3712.3055234377334,207.63764430148876,0,0,141.19359812499133
1666,1171.0129141071106,3563.9458092675036,0,2186.5337039731967,3712.3055234377625,206.3991911871999,0,0,140.35145000725328
1667,1169.0354588922175,3657.7702040425465,0,2284.609049371298,3712.305523437683,204.1256957790174,0,0,138.80547312978342
1668,1156.6619687648165,3677.402451679026,0,2319.768694207218,3712.3055234377202,200.97178870704374,0,0,136.66081632077513
1669,1134.7308133253161,3656.3296659139473,0,2324.4467635653273,3712.305523437662,197.15208902335144,0,0,134.06342053586602
1670,1104.7317024478664,3560.7418901656783,0,2263.0836123467016,3712.305523437691,192.92657537103514,0,0,131.19007125226446
1671,1068.7041650167982,3312.3667748729513,0,2055.079743003036,3712.3055234377493,188.58286685307394,0,0,128.23634946006842
1672,1029.0985584061389,2843.3579860106156,0,1629.8428063330066,3712.305523437691,184.41662127152085,0,0,125.40330246458763
1673,988.6090806764778,2150.472134000594,0,981.1516666933894,3712.3055234377202,180.71138663077727,0,0,122.88374290897453
1674,949.9901654320107,1315.8175638433281,0,188.1081194228027,3712.305523437662,177.71927898851573,0,0,120.84910971217438
1675,915.8687717248293,1150.8791055100703,0,0,3712.3055234377043,235.0103337852847,40.369240700573975,0,119.43778627337826
1676,888.5653611392745,1081.6533850956207,0,77.82856625536029,3712.305523437646,115.25945770098092,0,0,118.74567193729975
