point_id,feasible,selected,objective_negative_peak_gain_db,objective_psll_db,objective_active_count,objective_robustness_margin_db,constraint_null_db,constraint_kernel,peak_deg,hpbw_deg,phase_codes,attenuator_codes
29,1,0,-18.740240021884937,-14.861493120060933,14,6.81146001301617,-11.006017016118335,-1,37.796395785691885,11.74832115507273,"22;2;45;14;6;50;30;7;54;38;19;56;38;18;62;42","28;25;19;13;8;4;1;0;0;1;3;8;13;10;25;28"
30,1,0,-18.72695038312107,-29.000728657842142,14,18.89165028369797,-25.268852725030982,-1,-40.700422833626064,12.711261058979552,"35;56;13;34;55;12;33;54;10;31;52;9;30;51;8;33","31;28;21;14;8;4;1;0;0;1;4;8;14;21;27;31"
31,1,0,-18.71929115692427,-26.029647089424973,14,16.113483912923517,-4.60533276561889,-1,13.789475555227945,9.986244384938617,"57;50;42;34;27;19;11;4;60;53;45;37;30;22;14;7","31;28;21;14;6;4;1;0;0;1;4;8;14;25;29;31"
32,1,0,-18.714856702414753,-28.08492634499028,14,18.044695251694744,-4.79828743389621,-1,13.78876184007493,9.89757386384474,"57;50;42;34;27;19;11;4;60;53;45;37;30;22;14;7","31;28;21;14;8;4;1;0;0;1;4;8;14;21;28;31"
33,1,0,-18.714291087904897,-26.422393309813224,14,16.64987526092681,-4.59308701849181,-1,13.84684745202332,9.997100338260953,"57;52;42;34;27;19;11;4;60;53;45;37;30;22;14;7","31;28;21;14;6;4;1;0;0;1;4;8;14;25;29;31"
34,1,0,-18.62573634660671,-29.35721359389131,14,19.27627171064347,-4.836182943177622,-1,13.788704491925854,9.880271151405957,"57;50;42;34;27;19;11;4;60;53;45;37;30;22;14;9","31;28;21;14;8;4;1;0;0;2;4;9;14;21;28;31"
35,1,0,-18.491317353547487,-16.089416496717178,11,8.984638481563703,-11.015199880845831,-1,-31.04049676105349,12.271097063734782,"31;18;36;60;5;22;39;55;8;25;41;60;12;28;45;58","16;14;11;8;5;3;1;0;0;1;4;7;14;11;30;30"
36,1,0,-18.451725962620333,-10.81659593564244,12,6.58854546227761,-5.679591232882977,-1,41.46064131990478,12.990869539352552,"31;49;57;33;15;43;32;9;55;32;20;51;31;10;16;31","31;12;27;5;7;1;2;0;0;1;2;5;7;10;31;12"
37,1,0,-18.354535126207065,-15.036658675611243,10,15.036658675611243,-13.498666695079699,-1,33.7616075555761,13.58867519403028,"29;51;34;14;61;44;27;9;55;34;20;2;45;32;13;59","22;20;16;5;7;3;1;0;0;0;0;7;13;16;20;22"
38,1,1,-18.354080903954046,-31.945891265842295,14,31.945891265842295,-25.94589126584232,-1,43.432536557789774,13.635278566041166,"37;15;57;35;13;55;33;11;53;31;9;51;29;7;49;27","31;31;23;15;9;4;2;0;0;2;4;9;15;23;31;31"
39,1,0,-18.340608377019556,-15.33404559849009,10,9.23377754127145,-12.292645227787109,-1,33.49172888426177,13.630433898631821,"30;49;32;14;61;44;27;9;55;34;22;3;45;32;15;39","30;20;16;5;7;1;1;0;0;0;0;9;13;10;30;30"
40,1,0,-18.329281241788284,-31.015776078716737,14,31.015776078716737,-25.015776078716737,-1,43.432536557789966,13.663186448905009,"37;15;57;35;13;55;33;11;53;31;9;51;29;7;49;27","27;31;23;15;9;4;2;0;0;2;4;9;16;23;31;31"
