proposal,topology,active_edges,dimension,motifs,exact_reference,training_score,validation_score,generalization_gap,period_train,period_validation,amplitude_train,amplitude_validation,participation_validation,failure_fraction_validation,requested_evaluations,actual_evaluations,wall_seconds
85,100200221,5,16,repressilator,,0.371791773859,0.613988432003,0.242196658143,25.689963333662,25.775807688601,116.166666666667,113.133333333333,1.000000000000,0.000000000000,192000,192000,61.654174557
86,012020100,4,14,other,,1.788135514005,3.108514539001,1.320379024996,25.098711697673,34.758215860373,26.000000000000,24.266666666667,1.000000000000,0.000000000000,192000,192000,60.218007630
87,001001111,5,16,other,,1.560386471066,2.869789559156,1.309403088090,22.163128783565,32.184781843278,53.166666666667,53.733333333333,1.000000000000,0.000000000000,192000,192000,121.754822246
88,011201002,5,16,other,,1.299760673518,2.867473943896,1.567713270378,22.809057564352,40.554973774483,26.833333333333,21.666666666667,1.000000000000,0.000000000000,192000,192000,88.534169492
89,000220000,2,10,other,,1.315514205502,3.025423318447,1.709909112946,24.458913616962,40.530951715915,29.500000000000,30.600000000000,1.000000000000,0.000000000000,192000,192000,26.478711293
90,210102021,6,18,other,,1.457285580002,2.007937804363,0.550652224361,25.717772820877,24.908313513406,18.833333333333,16.800000000000,1.000000000000,0.000000000000,192000,192000,123.028119087
91,202000202,4,14,toggle-core,,1.677325596930,3.152521471486,1.475195874556,24.352880938061,41.998120061445,25.166666666667,26.800000000000,1.000000000000,0.000000000000,192000,192000,35.833583632
92,000020011,3,12,other,,0.961633847848,1.873520367436,0.911886519588,26.850209254026,22.478461170302,29.500000000000,21.800000000000,1.000000000000,0.000000000000,192000,192000,41.726108255
93,000110000,2,10,other,,1.551296148941,2.998864886814,1.447568737873,25.840596581007,37.065496216212,17.166666666667,18.733333333333,1.000000000000,0.000000000000,192000,192000,56.041711926
94,202021010,5,16,other,,1.457142583382,2.737906520095,1.280763936713,24.301846652464,33.965468478126,23.666666666667,20.533333333333,1.000000000000,0.000000000000,192000,192000,58.282095510
95,012200100,4,14,other,,1.492404005877,2.450454837738,0.958050831861,24.880602500038,31.237606363935,32.000000000000,34.066666666667,1.000000000000,0.000000000000,192000,192000,83.762272421
96,002200000,2,10,other,,1.670421199314,2.841728503085,1.171307303770,24.538293981582,31.057181552633,26.666666666667,23.800000000000,1.000000000000,0.000000000000,192000,192000,24.051721839
97,002201201,5,16,other,,0.959885263694,2.058366932706,1.098481669013,25.437019011599,26.616955343923,27.000000000000,21.266666666667,1.000000000000,0.000000000000,192000,192000,61.937993137
98,220010102,5,16,other,,1.599166139446,2.906516853384,1.307350713938,25.485262736442,34.663338612655,19.666666666667,19.666666666667,1.000000000000,0.000000000000,192000,192000,57.913459117
99,000120000,2,10,other,,1.501736450965,3.273271070737,1.771534619772,31.767122022077,52.780001678102,38.000000000000,59.200000000000,1.000000000000,0.000000000000,192000,192000,49.212875287
100,022001202,5,16,toggle-core,,1.651135137089,2.810868621414,1.159733484325,25.790765583003,36.640873214671,35.500000000000,33.666666666667,1.000000000000,0.000000000000,192000,192000,51.978821668
101,001010100,3,12,other,,1.743808757786,2.951685639893,1.207876882108,25.868322480332,40.181704641513,15.166666666667,16.666666666667,1.000000000000,0.000000000000,192000,192000,53.960397182
102,020001200,3,12,other,,1.599528420394,2.839766794450,1.240238374057,25.299592090006,43.298193790570,38.500000000000,45.266666666667,1.000000000000,0.000000000000,192000,192000,41.129163900
103,200002010,3,12,other,,1.803060933533,2.939523981326,1.136463047793,24.912862424279,34.775701015832,17.666666666667,17.333333333333,1.000000000000,0.000000000000,192000,192000,40.924231738
104,100222001,5,16,mixed-cycle+toggle-core,,1.253675390560,3.100190580582,1.846515190022,25.438519633444,38.590768536570,25.666666666667,23.000000000000,1.000000000000,0.000000000000,192000,192000,89.590335985
105,221000200,4,14,other,,1.652276490080,2.916742637792,1.264466147712,24.317681200611,33.889874043326,23.833333333333,20.666666666667,1.000000000000,0.000000000000,192000,192000,44.364626885
106,000222100,4,14,toggle-core,,1.312527420470,2.788388906241,1.475861485771,23.756349002874,36.797926227649,21.333333333333,21.466666666667,1.000000000000,0.000000000000,192000,192000,65.872918026
107,010011002,4,14,goodwin-like,,0.482539926109,0.981618300301,0.499078374192,25.512720177368,25.410847515470,43.833333333333,43.133333333333,1.000000000000,0.000000000000,192000,192000,48.672851777
108,020011000,3,12,other,,1.643550040912,3.154088108779,1.510538067867,24.173171504381,38.216989999578,16.500000000000,16.600000000000,1.000000000000,0.000000000000,192000,192000,44.346654049
109,100100011,4,14,other,,1.470249949903,2.891502296508,1.421252346605,25.829150582704,32.987918158749,62.500000000000,52.800000000000,1.000000000000,0.000000000000,192000,192000,117.800913023
110,200202100,4,14,toggle-core,,1.411426349155,2.746135086297,1.334708737142,25.876071215467,33.768972509386,23.000000000000,19.666666666667,1.000000000000,0.000000000000,192000,192000,51.097373904
111,000011000,2,10,other,,1.387309177592,3.120089223456,1.732780045864,28.631440655865,51.164926070548,61.666666666667,58.533333333333,1.000000000000,0.000000000000,192000,192000,39.710897280
112,011201220,6,18,repressilator,,0.359844289749,0.789248776265,0.429404486516,25.797905265108,25.329956247616,90.333333333333,90.933333333333,1.000000000000,0.000000000000,192000,192000,83.434650802
113,220202200,5,16,toggle-core,,1.400957894802,2.688703642529,1.287745747728,26.664781660610,32.070021000244,16.333333333333,15.333333333333,1.000000000000,0.000000000000,192000,192000,47.737667338
114,101210201,6,18,other,,1.337831645477,2.623573695819,1.285742050342,24.266536568999,28.320293509526,17.166666666667,16.400000000000,1.000000000000,0.000000000000,192000,192000,177.748711618
115,021202000,4,14,toggle-core,,1.629814630866,3.080936673425,1.451122042559,24.313391540708,34.676207546033,19.833333333333,16.933333333333,1.000000000000,0.000000000000,192000,192000,46.851835580
116,011020120,5,16,toggle-core,,1.628063136764,3.340176009972,1.712112873208,32.383046443604,44.279143799195,49.666666666667,43.800000000000,1.000000000000,0.000000000000,192000,192000,131.381477702
117,020000011,3,12,other,,1.423798685798,2.916337322155,1.492538636357,42.478854946298,40.589822121984,67.666666666667,45.666666666667,1.000000000000,0.000000000000,192000,192000,44.446405686
118,001220001,4,14,other,,1.433997071922,2.596203083983,1.162206012060,24.011317402520,32.012781773818,23.333333333333,23.266666666667,1.000000000000,0.000000000000,192000,192000,59.708582915
119,110201021,6,18,other,,1.390649033123,2.840298682736,1.449649649613,23.977252906933,37.744337520177,21.500000000000,20.666666666667,1.000000000000,0.000000000000,192000,192000,119.148485694
121,201022001,5,16,mixed-cycle,,1.670993737534,3.076153145288,1.405159407754,23.699962406425,38.641320294306,27.666666666667,34.466666666667,1.000000000000,0.000000000000,192000,192000,112.536612857
122,120000200,3,12,other,,1.730452676287,3.074285579269,1.343832902982,26.942181743807,34.689584684458,18.833333333333,17.466666666667,1.000000000000,0.000000000000,192000,192000,45.021613603
123,010020100,3,12,other,,1.649188212839,2.421263460588,0.772075247749,25.188781066986,27.782018943890,20.833333333333,21.333333333333,1.000000000000,0.000000000000,192000,192000,59.321102700
125,022202012,6,18,toggle-core,,1.559985302041,3.060954986675,1.500969684633,28.549475783334,45.838407280032,44.333333333333,37.400000000000,1.000000000000,0.000000000000,192000,192000,91.801412190
126,211000200,4,14,other,,1.724943531908,3.322544112597,1.597600580690,24.117147141896,41.039763015290,17.666666666667,17.266666666667,1.000000000000,0.000000000000,192000,192000,56.982621929
127,001202200,4,14,toggle-core,,1.439660312702,3.046471960191,1.606811647489,24.235437536292,42.737995073857,25.166666666667,23.466666666667,1.000000000000,0.000000000000,192000,192000,57.113586609
128,100210011,5,16,other,,1.414409787226,2.551648811571,1.137239024345,24.958093089427,28.540620282198,30.333333333333,23.866666666667,1.000000000000,0.000000000000,192000,192000,146.909428835
129,220000200,3,12,other,,1.649444070325,2.799503289877,1.150059219552,24.665198544184,36.160569905115,18.833333333333,16.800000000000,1.000000000000,0.000000000000,192000,192000,28.084847403
130,112020200,5,16,other,,1.608941727060,2.921297553129,1.312355826069,24.394125253091,32.294464309686,23.000000000000,21.666666666667,1.000000000000,0.000000000000,192000,192000,78.718044855
131,220200212,6,18,mixed-cycle+toggle-core,,1.535337255773,2.865252652489,1.329915396717,25.565856098425,32.580095212371,21.333333333333,21.066666666667,1.000000000000,0.000000000000,192000,192000,114.676884568
132,200011111,6,18,positive-cycle,,1.737806420899,3.377624687073,1.639818266173,29.493403493760,53.637268479971,32.333333333333,32.400000000000,1.000000000000,0.000000000000,192000,192000,159.486170445
133,210020001,4,14,other,,1.449901859055,3.490745636012,2.040843776958,25.441715719635,49.409830868350,26.333333333333,24.000000000000,1.000000000000,0.000000000000,192000,192000,56.855880466
135,012000021,4,14,other,,1.787201336747,2.936966735875,1.149765399128,42.047135964234,43.521909221469,38.166666666667,34.866666666667,1.000000000000,0.000000000000,192000,192000,100.382865423
136,221100011,6,18,other,,1.695442548862,3.472063647912,1.776621099050,26.984654481129,41.833567151107,30.166666666667,28.800000000000,1.000000000000,0.000000000000,192000,192000,96.180734322
137,000212010,4,14,toggle-core,,1.529047586011,3.085272404546,1.556224818534,24.116159335588,33.847739320156,24.666666666667,24.666666666667,1.000000000000,0.000000000000,192000,192000,61.662671622
138,001000021,3,12,other,,1.551361522205,3.050995326154,1.499633803948,29.965060030789,36.400177417009,73.333333333333,71.800000000000,1.000000000000,0.000000000000,192000,192000,61.819904470
140,002010210,4,14,other,,1.685158894822,3.248454443830,1.563295549008,27.229140484051,43.644664829276,22.000000000000,21.533333333333,1.000000000000,0.000000000000,192000,192000,60.420832853
