candidate_id,feasible,scalar_fitness,log_loss,brier,pr_auc,roc_auc,ece,recall,precision,predicted_positive_rate,false_positives,false_negatives,mean_model_bytes,mean_structural_cost,estimated_structural_cost,recall_violation,structural_violation,model_fits,trees_fitted,elapsed_seconds,failure,decision_n_trees,decision_max_depth,decision_min_samples_leaf,decision_min_samples_split,decision_row_sample_fraction,decision_feature_fraction,decision_positive_sampling_weight,decision_criterion_index
69,0,15.815510557964274,0.4240919681558389,0.1339608579306737,0.26935136227958234,0.6766875,0.022928172628913435,0,0,0.004166666666666667,1,40,461654.4,1117.4,4344,0.1,-0.997828,5,905,0.159240645,,181,21,11,5,0.727964616558423,0.7700565063130349,1.4800962723817068,0
70,0,15.815510557964274,0.44563013143732816,0.1371741997026103,0.2883010151227757,0.65,0.06574923130733941,0,0,0,0,40,236276.8,637.8,2725,0.1,-0.9986375,5,545,0.043047526,,109,22,8,3,0.5466760819460827,0.4259438291606241,0.704430396103283,1
71,1,0.5204834611255705,0.5204834611255705,0.1723657171201815,0.2697139609707502,0.63475,0.1699900793650794,0.325,0.28888888888888886,0.1875,32,27,135712.2,393.8,840,-0.225,-0.99958,5,420,0.057622455,,84,12,21,45,0.6348053252557654,0.834133907866692,3.4533800105952195,1
72,0,15.815510557964274,0.4571213157510488,0.13747637944073174,0.28721152418600476,0.6251875,0.0795634253968255,0,0,0,0,40,130937.8,295.4,1680,0.1,-0.99916,5,210,0.031678871,,42,8,9,11,0.9628319778509475,0.44711497809819634,0.8072441126575406,0
73,0,15.815510557964274,0.44849577145761277,0.13601920098276515,0.2668859936257006,0.6345625,0.04277424493670881,0,0,0,0,40,145238.2,471.4,6320,0.1,-0.99684,5,395,0.02265938,,79,23,2,28,0.4244440501601769,0.507495883166979,0.9440105533487113,0
74,1,0.6672194143806104,0.6672194143806104,0.14129046759275077,0.23975092845582702,0.633375,0.05451373055555554,0.1,0.3076923076923077,0.05416666666666667,9,36,11237.6,36,84,0,-0.999958,5,60,0.008565627,,12,2,7,7,0.7113896136052492,0.7937109032778424,2.925861228444553,1
75,0,15.815510557964274,0.8333261286306056,0.14585983979628064,0.24067656594025763,0.6244375,0.10461273273809521,0,0,0.004166666666666667,1,40,65955.4,197.4,2408,0.1,-0.998796,5,140,0.034782092,,28,7,4,41,0.9136213120308515,0.9990288773073317,0.6421984185674668,0
76,0,15.315510557964274,0.4383031263260891,0.13658670880015739,0.27118712057860256,0.665625,0.05211863990112995,0.05,0.2857142857142857,0.029166666666666667,5,38,298055.4,527,5074,0.05,-0.997463,5,295,0.067354743,,59,21,4,4,0.9118177748213963,0.5875051074666453,1.7450760258055595,1
77,0,15.565510557964274,0.4252248439000066,0.13331163434903046,0.29324170121409854,0.68725,0.053289473684210525,0.025,0.16666666666666666,0.025,5,39,304940.8,680,6080,0.07500000000000001,-0.99696,5,475,0.08482457,,95,17,3,7,0.5108029648227166,0.9814560785973527,1.4778342379440386,1
78,1,0.4824254049454646,0.4824254049454646,0.1579681032383819,0.23944641064221892,0.6545625,0.12612611779279279,0.175,0.21875,0.13333333333333333,25,33,99994.2,231.6,740,-0.07499999999999998,-0.99963,5,185,0.04734475,,37,14,15,22,0.8486407722832836,0.910700492285361,3.0064607552682356,1
79,0,15.315510557964274,0.4325593068733274,0.1387125651042291,0.2447678898537344,0.679125,0.05182297916666667,0.05,0.2222222222222222,0.0375,7,38,95138.6,240.6,3008,0.05,-0.998496,5,160,0.026897643,,32,8,3,19,0.7425486754036557,0.7131212770335038,1.275730094420961,0
80,1,0.5228510173837713,0.5228510173837713,0.17246755326843977,0.300519547695406,0.604625,0.15416666666666662,0.35,0.2916666666666667,0.2,34,26,110575,381,889,-0.24999999999999997,-0.9995555,5,635,0.03936271,,127,2,1,3,0.6024788280627282,0.406816102032419,3.6214961481539003,0
81,1,0.5498203371397946,0.5498203371397946,0.1650913590264816,0.21032862639478184,0.609875,0.13623190072463773,0.1,0.16666666666666666,0.1,20,36,84862.8,189.4,6095,0,-0.9969525,5,115,0.010924901,,23,9,1,22,0.6947669785909572,0.32808023976094447,3.453695995349691,0
82,1,0.4809896138064011,0.4809896138064011,0.15355055155400443,0.25869703128773663,0.6471875,0.13074212271973468,0.15,0.35294117647058826,0.07083333333333333,11,34,377086.4,1079.2,2412,-0.04999999999999999,-0.998794,5,1005,0.07591377,,201,24,16,21,0.5717297827851254,0.3860535040374796,3.202444392952514,1
83,1,0.5101397509495488,0.5101397509495488,0.14995382361499576,0.2890922839406887,0.697375,0.1249999625,0.2,0.3333333333333333,0.1,16,32,47375.6,114,1197,-0.1,-0.9994015,5,95,0.013633058,,19,5,1,18,0.6111915917283722,0.7634150192979218,2.7380210598047614,0
84,1,0.4262552365395622,0.4262552365395622,0.13182938856024531,0.33618217536456585,0.673,0.05256401506410264,0.125,0.5555555555555556,0.0375,4,35,88641.8,187.2,1326,-0.024999999999999994,-0.999337,5,130,0.02371052,,26,21,5,8,0.6762421816011406,0.8483625738303683,1.202011269207842,0
85,1,0.47350770648344337,0.47350770648344337,0.15080333333333332,0.29688612195890424,0.6723125,0.13483333333333333,0.15,0.42857142857142855,0.058333333333333334,8,34,155336.8,373,5750,-0.04999999999999999,-0.997125,5,250,0.021255406,,50,23,2,22,0.6019828077823881,0.37868654536813895,3.0135668953197836,0
86,0,15.815510557964274,0.4584105388088615,0.1391018518519768,0.2500321699416722,0.642375,0.08166654166666669,0,0,0,0,40,51922,152.2,540,0.1,-0.99973,5,150,0.01181939,,30,7,10,22,0.49854106896464745,0.6316094028988786,0.832861470206815,0
